record_number,platform,source_dataset,source_product_id,product_url,title,brand,seller,observed_price,currency,source_category,product_type,weight_grams,dimensions,image_url,source_timestamp,estimate_status,manufacturing_category,product_archetype,match_basis,confidence,quantity_assumption,factory_cost_low_usd,factory_cost_base_usd,factory_cost_high_usd,packaging_base_usd,freight_base_usd,duty_assumption_percent,landed_cost_low_usd,landed_cost_base_usd,landed_cost_high_usd,marketplace_fee_rate_percent,fulfillment_assumption_usd,returns_allowance_rate_percent,total_selling_cost_base_usd,gross_profit_base_usd,gross_margin_base_percent,estimate_notes,description_excerpt,source_dataset_url,estimate_version
1,Amazon,Bright Data Amazon products sample,B09NQJFRW6,https://www.amazon.com/Saucony-Mens-Kinvara-Running-Shoe/dp/B09TBB46NL,Saucony Men's Kinvara 13 Running Shoe,Saucony,Orv███tor███,57.79,USD,"Clothing, Shoes & Jewelry > Men > Shoes > Athletic > Running > Road Running",,,11 x 4 x 7 inches; 2.43 Pounds,https://m.media-amazon.com/images/I/71QeGmahUnL._AC_UX500_.jpg,2023-08-08 00:00:00.000,Estimated,Footwear,Running or athletic shoe,Keyword/category match: running shoe,Low,1000,12.0,20.0,38.0,1.3,2.5,12,15.57,26.66,50.96,15.0,4.25,5.0,42.46,15.33,26.5,"Brand R&D, tooling, cushioning compounds, and quality standards excluded. Tariff and freight assumptions are illustrative and require current validation.","When it comes to lightweight speed, nothing crushes the competition like the Kinvara. And this just so happens to be our lightest one yet. With more speed contouring and its signature flexible feel, it pushes you forward without holding anything back. These are the shoes you’ll do big things in.",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
2,Amazon,Bright Data Amazon products sample,B0074TRKFI,https://www.amazon.com/ML-Kishigo-Ultra-Cool-Polyester-Orange/dp/B00LTQMP52,"Kishigo Premium Black Series Heavy Duty Unisex Reflective Safety Vest 1514, ANSI Type R / Class 2 Compliant, 6 Pockets - Pencil & Radio Pockets, Reflective Silver Lining & Black Trim (Orange, XL)",Kishigo,Ama███.co███,28.5,USD,Tools & Home Improvement > Safety & Security > Personal Protective Equipment > Protective Workwear > Safety Apparel > Vests,,,28 x 50 x 1 inches; 12.48 Ounces,https://m.media-amazon.com/images/I/41PUenVYhML._SY445_SX342_QL70_FMwebp_.jpg,2023-08-09 00:00:00.000,Estimated,Apparel,Safety vest,Keyword/category match: safety vest,Medium,1000,2.75,5.5,9.9,0.5,0.35,10,3.5,6.99,12.76,15.0,4.25,5.0,16.93,11.57,40.6,"ANSI certification, pocket count, and reflective material affect cost. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.","The Kishigo Premium Black Series Heavy Duty Vest is ideal for those in the Transport Industry. The 2"" wide high performance reflective material is contrasted with 3"" of color for increased invisibility, with a clean and strong black trim. Made from 100% Ultra-Cool polyester mesh, this vest is designed for all day comfort and can easily be layered over clothes with a full front length zipper. This vest features two lower outside cargo pockets with adjustable flaps and grommets, a right chest 2-ti",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
3,Amazon,Bright Data Amazon products sample,B07V5LK5J3,https://www.amazon.com/Solar-Post-Cap-Lights-Outdoor/dp/B07V5LK5J3?th=1&psc=1&currency=USD&language=en_GB,"TWINSLUXES Solar Post Cap Lights Outdoor - Waterproof LED Fence Post Solar Lights for 3.5x3.5/4x4/5x5 Wood Posts in Patio, Deck or Garden Decoration 4 Pack",TWINSLUXES,Twi███uxe███,33.99,USD,Tools & Home Improvement > Lighting & Ceiling Fans > Outdoor Lighting > Post Lights,,2113.73872,"2.05""L x 2.05""W x 2.13""H",https://m.media-amazon.com/images/I/71kCgl9yzzL.__AC_SY445_SX342_QL70_FMwebp_.jpg,2024-02-04 00:00:00.000,Estimated,Home,Solar outdoor light,Keyword/category match: solar post,Low,1000,4.57,10.66,21.32,0.8,1.92,7,6.12,14.32,29.88,15.0,7.5,5.0,28.62,5.37,15.8,"Battery, waterproofing, panel size, pack count, and testing affect cost. Modifiers: weatherproof construction, 4-count/set adjustment. Tariff and freight assumptions are illustrative and require current validation.","Solar Post Cap Lights Waterproof LED Fence Post Solar Lights for ""3.5x3.5"" ""4x4"" ""5x5"" Wooden Posts. FEATURES & DETAILS Product Specification Material: ABS Power Source: Solar-powered Lumens: 20 Lumens Color temperature: 3000k Light color: warm white LED: SMD 2835 0.5W *1 PCS Waterproof level: IP65 Battery: 600mah batteries Package Contents 1 x Solar post light 1 x Instruction Manual 1 x Installing Screw Set PERFECT FIT Fits wooden posts,vinyl posts or PVC posts The fence post lights solar power",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
4,Amazon,Bright Data Amazon products sample,B00080QHMM,https://www.amazon.com/dp/B00080QHMM?th=1&psc=1&currency=USD&language=en_GB,"Accutire MS-4021B Digital Tire Pressure Gauge with 4 Valve Caps, 5-150psi (psi, bar, kPa, kg/cm2)",Accutire,Cit███ran███Dir██████,17.95,USD,Automotive > Tools & Equipment > Tire & Wheel Tools > Tire Repair Tools,Tire Repair Tools,22.6796,6.7 x 2.4 x 0.8 inches; 0.8 ounces,https://m.media-amazon.com/images/I/41UbPFLOVkL._SY445_SX342_QL70_FMwebp_.jpg,2024-06-09 00:00:00.000,Estimated,Electronics,Small digital gauge or sensor,Keyword/category match: tire pressure gauge,Low,1000,2.75,6.6,14.3,0.6,0.3,3,3.21,7.73,16.74,15.0,3.5,5.0,14.82,3.13,17.5,"Sensor accuracy, calibration, enclosure, and certification affect cost. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.","About this item Heavy duty construction and rugged design for long lasting use Angled head and rubber coated handle for easy gripping Large, easy-to-read backlit LCD display; Easily switch between psi, bar, kPa, kg/cm2 Equipped with an automatic shut off to conserve battery life Accurate to within 0.5 PSI, reading air pressure from 5-150 PSI in 0.5 pound increments; Includes replaceable Alkaline LR44 1.5V coin cell batteries",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
5,Amazon,Bright Data Amazon products sample,B0CNZ6ZV14,https://www.amazon.in/SAURA-LIFE-SCIENCE-Ayurvedic-Oil-250ML/dp/B0CNZ6ZV14?th=1&psc=1&currency=USD&language=en_GB,SAURA LIFE SCIENCE Adivasi Ayurvedic Neelgiri Hair growth Hair Oil-250ML (2),SAURA LIFE SCIENCE,PRA███ EN███PRI███,799.0,INR,Beauty > Hair Care > Hair Oils,,399.0,5 x 2 x 2 cm; 399 Grams,https://m.media-amazon.com/images/I/31hYnlXSpeL._SX300_SY300_QL70_FMwebp_.jpg,2024-01-16 00:00:00.000,Estimated,Beauty,Hair oil or hair-care liquid,Keyword/category match: hair oil,Low,1000,1.2,3.5,9.0,0.7,0.45,4,1.66,4.84,12.17,15.0,4.75,5.0,9.59,,,"Formula, botanical ingredients, testing, volume, and packaging affect cost. Tariff and freight assumptions are illustrative and require current validation.","This extraordinary fusion is designed to nourish, strengthen, and rejuvenate your hair, bringing it into profound harmony with the forces of nature. For centuries, Adivasi communities have held the key to nature's secret beauty rituals, and now, we invite you to unlock these ancient mysteries. Allow your hair to luxuriate in the rich traditions of the Adivasi people, as they have woven their wisdom into this time-honored, transcendent elixir. BENEFITS. 1 Reduces hair fall 2 Boosts hair growth 3 ",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
6,Amazon,Bright Data Amazon products sample,B0BGSF52LR,https://www.amazon.com/KASOTT-Replacement-Reduction-Ultra-Comfort-Anti-Slip/dp/B0BGSF52LR,"KASOTT Replacement Airpod Pro Ear Tip Premium Memory Foam Earbud Tips, Perfect Noise Reduction, Ultra-Comfort, Anti-Slip Eartips, Fit in The Charging Case (Sizes M, 3 Pairs)",KASOTT,KAS███ of███e,17.88,USD,"Electronics > Headphones, Earbuds & Accessories > Earpads",,17.973582999999998,0.52 x 0.47 x 0.31 inches,https://m.media-amazon.com/images/I/51PJLJF3tIL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-09-10 00:00:00.000,Estimated,Electronics,Earbud replacement tips,Title match: ear tip,Medium,1000,0.15,0.58,1.8,0.18,0.06,3,0.26,0.84,2.47,15.0,3.5,5.0,7.92,9.96,55.7,"Material, size assortment, pack count, and packaging affect cost. Modifiers: premium/heavy-duty specification. Tariff and freight assumptions are illustrative and require current validation.","About this item [ Exclusive Customization ] Made specifically for Apple AirPods Pro 1st and 2nd generation, memory foam earbuds don't interfere with charging, provide a great sound experience, and adapt to the shape of your ear, making them suitable for different people. [ Premium Material ] The memory foam material has excellent texture and can slowly rebound when pressed, which fits the contour of your ear and better adapts to changes in the environment, providing you with a more comfortable e",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
7,Amazon,Bright Data Amazon products sample,B08XMPKJ1L,https://www.amazon.com/Bio-Oil-Skincare-Stretchmarks-Moisturizer-Sunflower/dp/B08XMPKJ1L?th=1&psc=1&currency=USD&language=en_GB,"Bio-Oil Skincare Body Oil (Natural) Serum for Scars and Stretchmarks, Face and Body Moisturizer Hydrates Skin, with Organic Jojoba Oil and Vitamin E, For All Skin Types, 6.7 oz",Bio-Oil,Ama███.co███,24.95,USD,Beauty & Personal Care > Skin Care > Face > Creams & Moisturizers > Face Oil,,,1.93 x 2.01 x 6.89 inches; 6.7 ounces,https://m.media-amazon.com/images/I/41PBEKES5NL._SX300_SY300_QL70_FMwebp_.jpg,2024-04-01 00:00:00.000,Estimated,Beauty,Skin-care or cosmetic formula,Keyword/category match: skin care,Low,1000,1.5,4.5,12.0,0.8,0.45,4,2.03,5.98,15.6,15.0,4.25,5.0,15.22,9.73,39.0,"Formula, actives, testing, compliance, filling, and packaging drive uncertainty. Tariff and freight assumptions are illustrative and require current validation.","Give your skin a break while stuck inside! It's the perfect time to care for your skin with Bio-Oil Natural Skincare Oil. Made for all skin types, this paraben and mineral oil-free body and face oil for dry skin is carefully formulated with all natural ingredients to hydrate dry, damaged skin while healing scars, stretch marks, and uneven skin tone. This all natural brightening serum contains no added or artificial fragrance, so you can feel safe about what you're putting on your skin. Bio-Oil N",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
8,Amazon,Bright Data Amazon products sample,B0B8CP57MN,https://www.amazon.com/Plastic-Organizers-Multifunction-Organizer-Medicine/dp/B09B3MN6BF,"crysting 13 Inch Sewing Box Three Layers, Plastic Craft Organizers and Storage, Multifunction Craft Box/Organizer Box/First Aid Box/Medicine Box/Tool Organizers and Storage with Lids",crysting,GDD███S,20.99,USD,"Arts, Crafts & Sewing > Organization, Storage & Transport > Storage Boxes & Organizers",,907.184,"13.2""L x 7.2""W x 6.7""H",https://m.media-amazon.com/images/I/61MDm2rPNpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-10-14 00:00:00.000,Estimated,Home,Plastic storage or organizer,Keyword/category match: storage box,Medium,1000,1.21,2.42,4.74,0.35,0.5,7,1.67,3.5,7.21,15.0,4.75,5.0,12.45,8.54,40.7,"Tooling excluded; resin weight, compartments, and shipping volume matter. Tariff and freight assumptions are illustrative and require current validation.","About this item 🌟 High Quality Sewing Box 🌟 Made from food grade plastic, this crafts tool box is lightweight, dust proof, moisture proof and durable. 🌟 Multifunction Box Organizer 🌟 Not only it is a tool organizers, but also a craft box, sewing organizer box, first aid box, medicine box and tackle box organizer. 🌟 Portable Storage Box 🌟 13.2*7.2*6.7 inches, three layers, with 1 big grid and 6 small grids. Clear plastic material help you to find items easily and quickly. 🌟 Perfect Craft Box 🌟 Fo",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
9,Amazon,Bright Data Amazon products sample,B001HWGJAK,https://www.amazon.com/Ridgid-62990-T-201-5-Inch-Straight/dp/B001HWGJAK,"Ridgid 62990 T-201 5"" Straight Auger",RIDGID,Emp███ Ri███ng █████████,25.38,USD,Tools & Home Improvement > Power & Hand Tools > Power Tool Parts & Accessories > Power Drill Parts & Accessories > Drill Bits > Auger Drill Bits,,94.970825,6.5 x 1 x 1 inches,https://m.media-amazon.com/images/I/61vEdS0dnnL.__AC_SX300_SY300_QL70_FMwebp_.jpg,2023-09-11 00:00:00.000,Estimated,Tools,Power-tool accessory,Keyword/category match: drill bit,Low,1000,0.96,4.8,17.29,0.6,0.45,5,1.34,6.15,21.3,15.0,3.5,5.0,14.72,10.66,42.0,"Material, precision, coating, compatibility, and set count vary. Tariff and freight assumptions are illustrative and require current validation.","The product is 62990 AUGER, T201 STRAIGHT 5/8 CABLE",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
10,Amazon,Bright Data Amazon products sample,B07PGY6STR,https://www.amazon.com/Core-10-Comfort-High-Waist-Side-Pocket/dp/B07PJ2VFNS,Core 10 Women's All Day Comfort High-Waist Side-Pocket Yoga Legging,Core 10,Ama███.co███,23.92,USD,"Clothing, Shoes & Jewelry > Women > Clothing > Active > Leggings",,,1 x 1 x 1 inches; 8 Ounces,https://m.media-amazon.com/images/I/718wu1ulePS._AC_UY500_.jpg,2023-08-09 00:00:00.000,Estimated,Apparel,Leggings or yoga pants,Keyword/category match: legging,Medium,1000,3.36,6.24,11.53,0.5,0.35,10,4.17,7.8,14.6,15.0,4.25,5.0,16.84,7.08,29.6,"Fabric recovery, opacity, pockets, and branding affect cost. Tariff and freight assumptions are illustrative and require current validation.","Empowering women to reach their full potential is at the heart of what we do. Because when you’re wearing Core 10, you’re ready to experience more. Be more. Live more.",https://github.com/luminati-io/eCommerce-dataset-samples,2026-08-05-v2
